"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000104773",1.0727411750392,3.77256312560698,71.7149893565261,2.48636596086726e-17,2.09751141072425e-14
"ENSDARG00000095615",-1.11747600009969,4.40206055551097,71.2758904018226,3.10608176766031e-17,2.55311956989453e-14
"ENSDARG00000052626",3.30865552469408,1.64888736196259,70.4457911039966,4.73089443093807e-17,3.79145706931454e-14
"ENSDARG00000075622",-1.66542973279005,3.56688412396032,70.0670641571961,5.73221091318005e-17,4.48188988399543e-14
"ENSDARG00000117485",-1.58366001798856,2.23356933974828,69.1344955779433,9.19725547938453e-17,7.0199147357769e-14
"ENSDARG00000077236",1.01729104063957,4.8383920709002,68.9373505891188,1.01641498504157e-16,7.57749190127388e-14
"ENSDARG00000004748",1.94265563419285,6.91748982944579,68.1520315424404,1.51363448396384e-16,1.10278592391884e-13
"ENSDARG00000103634",1.55846145585112,5.78161612438199,66.7173657983987,3.13362360446806e-16,2.23232381974295e-13
"ENSDARG00000077169",2.62400796215805,3.17833785376848,66.3283685050508,3.81725102131422e-16,2.66020904326674e-13
"ENSDARG00000101200",-1.97916370720619,2.55034482734177,66.1789986368973,4.11776695508957e-16,2.79467209297109e-13
"ENSDARG00000001953",1.31817244144954,5.09271626639489,66.1472860290372,4.1845544019282e-16,2.79467209297109e-13
"ENSDARG00000093316",1.49627945768981,2.81358597017303,66.0190978776121,4.46574854742672e-16,2.92160206499711e-13
"ENSDARG00000095409",3.24220132941153,2.36090453638304,65.2806765102093,6.49551507575987e-16,4.16453453567268e-13
"ENSDARG00000101040",3.90833174297582,0.820927322864846,64.2220627274706,1.11156999720248e-15,6.98698027457255e-13
"ENSDARG00000096655",0.892711145593261,4.53816201000187,63.2398728521959,1.83006133778982e-15,1.12351207487325e-12
"ENSDARG00000091860",2.40734536997632,2.38372480592374,63.2105501623762,1.85750818754974e-15,1.12351207487325e-12
"ENSDARG00000105408",0.938992901608279,4.22969198568706,62.6586048276252,2.45828574236677e-15,1.45935677857503e-12
"ENSDARG00000089724",2.2880416675702,2.80044039011097,60.7382542094428,6.51909304026615e-15,3.79968301076022e-12
"ENSDARG00000020298",0.98538448207805,4.85240152968751,59.7067234738926,1.10099766485235e-14,6.30262181110209e-12
"ENSDARG00000101892",-0.825170658877283,5.18297240663067,59.6215589521828,1.14968795598068e-14,6.46588540436362e-12
"ENSDARG00000091209",1.51796567900436,4.85576482622817,58.5809428118754,1.95097075412011e-14,1.0783149907729e-11
"ENSDARG00000097553",1.09540865731337,3.1401706744133,57.8026275938277,2.89782371165677e-14,1.57450058855222e-11
"ENSDARG00000117450",-1.88544144744929,1.12408288311984,57.7595611866262,2.96196819170211e-14,1.58253023868991e-11
