gene_id,f1.expected_count,f2.expected_count,f3.expected_count,f4.expected_count,f5.expected_count,f6.expected_count
ENSDARG00000001785,452,591,426,636,468,582
ENSDARG00000001788,14716,13438,10071,15521,17584,15205
ENSDARG00000001803,98,148,121,196,105,143
ENSDARG00000001804,222,204,185,282,334,238
ENSDARG00000001807,670,814,616,982,644,840
ENSDARG00000001817,25,34,18,32,16,35
ENSDARG00000001818,1162.77,1583.47,895.71,1613.06,1088.59,1688.9
ENSDARG00000001825,34.33,42.67,30.46,45.68,49.15,48.99
ENSDARG00000001829,1245.56,1269.24,957.17,1690.08,1080.47,1381.97
ENSDARG00000001835,502,797,519,690,441,607
ENSDARG00000001857,597,784,583,865,431,687
ENSDARG00000001859,93,139,78,127,113,162
ENSDARG00000001870,9366.26,11521.31,8919.54,14132.56,12244,12416.32
ENSDARG00000001873,1584,1449,967,1492,1537,1715
ENSDARG00000001879,670,839,535,920,692,802
ENSDARG00000001880,404,469,373,573,459,493
ENSDARG00000001881,35,51,27,60,9,53
ENSDARG00000001882,1078.18,991.24,924.2,1645,1523,1211
ENSDARG00000001888,676,761,580,875,634,838
ENSDARG00000001889,8498.53,11488.39,7899.11,10982.93,9191.23,9939.71
ENSDARG00000001890,2702.17,2996.46,2155.9,3682.07,2791.16,3193.5
ENSDARG00000001891,77.74,137.78,89.03,141.78,85.06,147.76
ENSDARG00000001897,1030.95,1057.55,820.75,1350.24,1216.26,1178.28
ENSDARG00000001898,267,322,241,332,349,321
ENSDARG00000001906,64,49,32,59,50,54
ENSDARG00000001909,172,222,151,232.27,166,197
ENSDARG00000001910,2777,3554,2776,4151,3036,3370
ENSDARG00000001912,137,180,135,214,126,164
ENSDARG00000001913,670,862,562,711,628,868
ENSDARG00000001929,733,779,638,1053,901,846
ENSDARG00000001930,579,641,473,732,631,625
ENSDARG00000001933,177,178,184,290,249,235
ENSDARG00000001937,358,439,281,436,372,463
ENSDARG00000001939,449,435,378,510,468,463
ENSDARG00000001940,1216,1238,1006,1648,1449,1390
ENSDARG00000001950,24348,20727,18093,30173,37075,26680
ENSDARG00000001953,582,609,896,2082,1633,636
ENSDARG00000001968,215,222,146,310,114,258
ENSDARG00000001969,645,733,531,855,608,747
ENSDARG00000001971,95,61,102,152,73,137
ENSDARG00000001975,577,701,574,988,952,684
ENSDARG00000001976,225,373,275,382,278,297
ENSDARG00000001993,2913.29,2924,2384,3866,2565,3904
ENSDARG00000001994,5493,9209,6334,9110,5394,7494
ENSDARG00000001999,359,461,327,462,332,442
ENSDARG00000002002,259.93,240,182.98,285.98,332,296
ENSDARG00000002006,931,1100,889,1392,1142,1129
ENSDARG00000002013,233,264,200,367,192,285
ENSDARG00000002016,496,568,398,662,557,656
ENSDARG00000002020,335,435,318,504,338,455
ENSDARG00000002021,1209,1370,929,1510,1043,1499
ENSDARG00000002026,77,131,84,130,34,137
ENSDARG00000002031,299,425,290,447,292,343
ENSDARG00000002037,211.9,223.89,146,294.79,163,256.92
ENSDARG00000002060,81,107,80,103,103,95
ENSDARG00000002071,1753,1773,1499,2487,1357,2155
ENSDARG00000002077,171,192,140,211,217,190
ENSDARG00000002082,2889,3339,2577,3954,3299,3380
ENSDARG00000002084,1796,1798,1444,2319,1904,2116
ENSDARG00000002097,63.89,64.51,51.3,85.96,105.49,71.02
ENSDARG00000002127,1217,1573,1108,1718,1289,1523
ENSDARG00000002128,442,430,328,500,453,427
ENSDARG00000002131,1168,1785,1113.86,1828,832,1513
ENSDARG00000002165,234,248,214,275,382,266
ENSDARG00000002167,370,473,378,542,267,479
ENSDARG00000002168,812,954,713,1118,936,939
ENSDARG00000002172,452,497,351,543,463,487
ENSDARG00000002174,239,230,190,283,240,259
ENSDARG00000002184,723,857,662,952,794,844
ENSDARG00000002190,2087,2097,1647,2615,2505,2297
ENSDARG00000002192,584,551,350,665,662,677
ENSDARG00000002193,30244,42980,33552,50959,36156,35639
ENSDARG00000002194,17,25,29,54,37,47
ENSDARG00000002196,757,852,704,1244,1195,965
ENSDARG00000002197,3505,3277,2166,3292,2880,4292
ENSDARG00000002204,703,573,516,811,899,804
ENSDARG00000002210,348,341,292,459,351,414
ENSDARG00000002213,130,135,91,186,123,146
ENSDARG00000002215,667,693,555,816,669,729
ENSDARG00000002216,450,579,408,583,423,519
ENSDARG00000002217,1391.86,1962,1369,1902,1503,1732
ENSDARG00000002219,135.95,145,156,228,192.94,202
ENSDARG00000002220,487,521,413,623,527,586
ENSDARG00000002230,4448,5870,4405,6387,5014,5691
ENSDARG00000002231,78,76,63,103,52,101
ENSDARG00000002235,1711,1696,1349,2227,1952,1987
ENSDARG00000002240,2085,1881,1439,2275,2477,2105
ENSDARG00000002241,27,43,41,51,23,56
ENSDARG00000002249,767,785,634,1068,915,883
ENSDARG00000002255,481,767,499,653,482,596
ENSDARG00000002259,69,86,131,147,259.38,89
ENSDARG00000002264,544,535,409,611,611,594
ENSDARG00000002267,802,782,625,1003,929,881
ENSDARG00000002271,2027,2089,1771,3146,2470,2311
ENSDARG00000002285,1016,1107,737,1347,926,1198
ENSDARG00000002293,205.02,185.31,123.58,230.08,222.66,162.69
ENSDARG00000002295,35,61,36,43,36,50
ENSDARG00000002298,75,72,81,137,195,74
ENSDARG00000002299,129,135,119,182,93,161
ENSDARG00000002300,101,87,68,125,96,103
ENSDARG00000002304,238,206,118,192,113,239
ENSDARG00000002305,1971,2162,1608,2566,2104,2331
ENSDARG00000002311,449.98,459.73,298.09,373.36,449.34,511.1
ENSDARG00000002330,117,117,108,133,144,141
ENSDARG00000002332,503,583,390,657,501,602
ENSDARG00000002333,192,270,206,307,140,249
ENSDARG00000002336,845,921,767,1124,935,972
ENSDARG00000002339,335,375,273,395,419,396
ENSDARG00000002344,19919.87,20607.91,15082,23173.49,24642,21675
ENSDARG00000002347,2,3,0,2,2,1
ENSDARG00000002353,19,18,13,44,29,17
ENSDARG00000002355,38,62,44,54,33,52
ENSDARG00000002362,1161,1406,1142,1680,1495,1430
ENSDARG00000002365,623,638,498,717,735,720
ENSDARG00000002369,5293.26,5399.86,4556.58,7556.53,7368.42,6066.35
ENSDARG00000002377,382,413,318,480,366,403
ENSDARG00000002385,295,284,192,366,260,329
ENSDARG00000002391,355,353,325,444,528,389
ENSDARG00000002394,200,196,140,261,144,246
ENSDARG00000002396,484,505,391,691,673,571
ENSDARG00000002401,348.05,322,277.03,397.16,352.04,398.09
ENSDARG00000002402,539,596,500,665,595,669
ENSDARG00000002403,804,951,640,944,739,866
ENSDARG00000002405,299,309,215,358,312,363
ENSDARG00000002406,42,36,28,55,38,51
ENSDARG00000002411,154,191,113,213,128,225
ENSDARG00000002445,350,337,286,425,399,365
ENSDARG00000002463,210,266,211,286,223,305
ENSDARG00000002467,436,455,379,624,588,495
ENSDARG00000002479,464,514,318,538,399,554
ENSDARG00000002483,68,85,35,86,53,103
ENSDARG00000002487,491,528,378,769,653,582
ENSDARG00000002494,507,497,321,552,507,550
ENSDARG00000002506,961,986,774,1138,1223,1131
ENSDARG00000002507,423.8,414.56,344.65,431.45,416.59,501.64
ENSDARG00000002508,6,8,12,7,8,11
ENSDARG00000002509,37,32,34,60,60,48
ENSDARG00000002510,32,65,33,77,38,48
ENSDARG00000002523,2927.48,3025.91,2582.22,4051.62,3645.64,3311.33
ENSDARG00000002533,50,71,41,80,30,59
ENSDARG00000002536,1063,1192,869,1427,1164,1246
ENSDARG00000002538,837,995,665,1116,983,982
ENSDARG00000002546,721,1012,741,1036,737,847
